pop,Suspended,Chronically Absent,Enrolled in AP Courses
All,1.5504958793127532,6.872468221818689,37
Asian,0,6.482758620689655,53
Black,3.0089628681177976,8.770806658130601,13
Hispanic,1.3254786450662739,8.345606283750612,18
White,1.3752888106502366,6.238310045109473,43
Two or more races,2.541436464088398,6.961325966850829,37
Economically disadvantaged,3.1630690318444112,12.032485573840564,14
English language learner,0.8185538881309686,8.799454297407912,6
Students with disabilities,5.067385444743936,12.021563342318059,5
